Protein.Group,Protein.Names,Genes,First.Protein.Description,N.Sequences,N.Proteotypic.Sequences,HYEA_1,HYEA_2,HYEA_3
O15066,KIF3B_HUMAN,KIF3B,Kinesin-like protein KIF3B,7,4,9549.07,10634.3,10563
O15067,PUR4_HUMAN,PFAS,Phosphoribosylformylglycinamidine synthase,22,22,282251,262812,243753
O15084,ANR28_HUMAN,ANKRD28,Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A,6,4,37108.4,32752.8,31229.9
O15085,ARHGB_HUMAN,ARHGEF11,Rho guanine nucleotide exchange factor 11,3,3,3391.06,4650.96,3624.72
O15111,IKKA_HUMAN,CHUK,Inhibitor of nuclear factor kappa-B kinase subunit alpha,11,11,16023.7,22906.2,12624.3
O15116,LSM1_HUMAN,LSM1,U6 snRNA-associated Sm-like protein LSm1,2,2,29741.2,14934.4,17946.2
O15118,NPC1_HUMAN,NPC1,NPC intracellular cholesterol transporter 1,5,5,94612.7,109968,106226
O15119,TBX3_HUMAN,TBX3,T-box transcription factor TBX3,3,3,6024.82,8311.18,10164.4
O15120,PLCB_HUMAN,AGPAT2,1-acyl-sn-glycerol-3-phosphate acyltransferase beta,3,3,51685.6,42770.4,36203.3
O15126,SCAM1_HUMAN,SCAMP1,Secretory carrier-associated membrane protein 1,2,2,37545.6,28741.2,35792.8
O15127,SCAM2_HUMAN,SCAMP2,Secretory carrier-associated membrane protein 2,3,3,68018.4,40079,57308.3
O15143,ARC1B_HUMAN,ARPC1B,Actin-related protein 2/3 complex subunit 1B,5,5,252546,218285,239348
O15144,ARPC2_HUMAN,ARPC2,Actin-related protein 2/3 complex subunit 2,11,11,438357,440313,396208
O15145,ARPC3_HUMAN,ARPC3,Actin-related protein 2/3 complex subunit 3,4,4,247296,304569,314688
O15156,ZBT7B_HUMAN,ZBTB7B,Zinc finger and BTB domain-containing protein 7B,3,3,10835.7,12291.5,11821.5
O15160,RPAC1_HUMAN,POLR1C,DNA-directed RNA polymerases I and III subunit RPAC1,7,7,94680.8,64997.2,60671.1
O15164,TIF1A_HUMAN,TRIM24,Transcription intermediary factor 1-alpha,5,5,18263.5,18526.4,17170.9
O15173,PGRC2_HUMAN,PGRMC2,Membrane-associated progesterone receptor component 2,3,2,454669,348383,320281
O15182,CETN3_HUMAN,CETN3,Centrin-3,1,1,2579.62,,2712.95
O15212,PFD6_HUMAN,PFDN6,Prefoldin subunit 6,5,5,375906,371057,315503
O15213,WDR46_HUMAN,WDR46,WD repeat-containing protein 46,8,8,68432.3,66430.5,57933.2
O15226,NKRF_HUMAN,NKRF,NF-kappa-B-repressing factor,11,11,91715,81281.3,72709.5
O15228,GNPAT_HUMAN,GNPAT,Dihydroxyacetone phosphate acyltransferase,3,3,33576.1,33870.1,33767.9
O15230,LAMA5_HUMAN,LAMA5,Laminin subunit alpha-5,12,12,11209.1,13859.6,16079.4
O15231,ZN185_HUMAN,ZNF185,Zinc finger protein 185,8,8,5284.98,7202.69,7826.18
O15235,RT12_HUMAN,MRPS12,Small ribosomal subunit protein uS12m,2,2,7993.99,9455.23,10238.8
O15243,OBRG_HUMAN,LEPROT,Leptin receptor gene-related protein,1,1,1499.83,,2056.79
O15258,RER1_HUMAN,RER1,Protein RER1,3,3,64764.4,92311.7,89247.3
O15260,SURF4_HUMAN,SURF4,Surfeit locus protein 4,3,3,192883,157336,162620
O15269,SPTC1_HUMAN,SPTLC1,Serine palmitoyltransferase 1,3,3,43120,31426,33719.9
O15270,SPTC2_HUMAN,SPTLC2,Serine palmitoyltransferase 2,7,7,39269,44700.4,45031.4
O15287,FANCG_HUMAN,FANCG,Fanconi anemia group G protein,4,4,2269.82,3530.98,5325.68
O15294,OGT1_HUMAN,OGT,UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit,10,10,89637.3,81875,72825.5
O15297,PPM1D_HUMAN,PPM1D,Protein phosphatase 1D,2,2,440.016,580.18,541.065
O15304,SIVA_HUMAN,SIVA1,Apoptosis regulatory protein Siva,2,2,6400.35,,2160.54
O15305,PMM2_HUMAN,PMM2,Phosphomannomutase 2,2,2,149420,163154,171809
O15315,RA51B_HUMAN,RAD51B,DNA repair protein RAD51 homolog 2,3,3,,3963.34,3310.9
O15318,RPC7_HUMAN,POLR3G,DNA-directed RNA polymerase III subunit RPC7,2,2,8719.53,10502,8454.93
O15321,TM9S1_HUMAN,TM9SF1,Transmembrane 9 superfamily member 1,3,3,78736.7,64086.2,53952.3
O15344,TRI18_HUMAN,MID1,E3 ubiquitin-protein ligase Midline-1,7,7,16354.7,15311.4,11694.4
O15347,HMGB3_HUMAN,HMGB3,High mobility group protein B3,3,3,581185,493641,507161
O15355,PPM1G_HUMAN,PPM1G,Protein phosphatase 1G,7,7,226801,220746,222256
O15357,SHIP2_HUMAN,INPPL1,"Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2",18,18,100604,98975.8,103067
O15360,FANCA_HUMAN,FANCA,Fanconi anemia group A protein,2,2,,3268.42,5202.73
O15371,EIF3D_HUMAN,EIF3D,Eukaryotic translation initiation factor 3 subunit D,6,6,407540,421881,441292
O15372,EIF3H_HUMAN,EIF3H,Eukaryotic translation initiation factor 3 subunit H,6,6,519416,471624,519931
O15379,HDAC3_HUMAN,HDAC3,Histone deacetylase 3,4,4,23698,26005,34147.6
O15381,NVL_HUMAN,NVL,Nuclear valosin-containing protein-like,16,16,48283.4,46000.1,40619.4
O15382,BCAT2_HUMAN,BCAT2,"Branched-chain-amino-acid aminotransferase, mitochondrial",7,7,150612,126794,110300
O15397,IPO8_HUMAN,IPO8,Importin-8,7,7,73906,94923.2,87569.1
O15400,STX7_HUMAN,STX7,Syntaxin-7,4,4,27110.4,29841.7,24562.7
O15403,MOT7_HUMAN,SLC16A6,Monocarboxylate transporter 7,3,3,47969.3,50269,35561.8
O15427,MOT4_HUMAN,SLC16A3,Monocarboxylate transporter 4,6,6,552485,643459,669889
O15431,COPT1_HUMAN,SLC31A1,High affinity copper uptake protein 1,1,1,11956.9,13729.1,
O15438,MRP3_HUMAN,ABCC3,ATP-binding cassette sub-family C member 3,8,7,16169.9,16043.7,13872
O15439,MRP4_HUMAN,ABCC4,ATP-binding cassette sub-family C member 4,4,4,3795.67,6573.07,3568
O15440,MRP5_HUMAN,ABCC5,ATP-binding cassette sub-family C member 5,2,2,2148.78,2376.8,
O15446,RPA34_HUMAN,POLR1G,DNA-directed RNA polymerase I subunit RPA34,3,3,56499.4,54940.5,49847.2
O15460,P4HA2_HUMAN,P4HA2,Prolyl 4-hydroxylase subunit alpha-2,6,6,19628.3,19042.8,16165.2
O15498,YKT6_HUMAN,YKT6,Synaptobrevin homolog YKT6,2,2,58159.4,60104.2,95546.6
O15504,NUP42_HUMAN,NUP42,Nucleoporin NUP42,4,4,21217.8,21544.5,23892.2
O15511,ARPC5_HUMAN,ARPC5,Actin-related protein 2/3 complex subunit 5,3,3,177948,145912,143492
O15525,MAFG_HUMAN,MAFG,Transcription factor MafG,4,3,20773.7,14773,19885.5
O15530,PDPK1_HUMAN,PDPK1,3-phosphoinositide-dependent protein kinase 1,9,1,15480.6,17031,15947.4
O15533,TPSN_HUMAN,TAPBP,Tapasin,2,2,105453,116256,113495
O15541,R113A_HUMAN,RNF113A,E3 ubiquitin-protein ligase RNF113A,5,4,60624.1,47317,48120.9
O15550,KDM6A_HUMAN,KDM6A,Lysine-specific demethylase 6A,3,1,,,
O15554,KCNN4_HUMAN,KCNN4,Intermediate conductance calcium-activated potassium channel protein 4,2,2,6036.74,2778.41,
O43137,YB085_YEAST,YBR085C-A,Uncharacterized protein YBR085C-A,2,2,702930,616807,580453
O43143,DHX15_HUMAN,DHX15,ATP-dependent RNA helicase DHX15,18,16,350668,295048,295572
O43148,MCES_HUMAN,RNMT,mRNA cap guanine-N(7) methyltransferase,7,7,81665.8,65816,73252.5
O43149,ZZEF1_HUMAN,ZZEF1,Zinc finger ZZ-type and EF-hand domain-containing protein 1,6,6,11198.7,10250,7299.24
O43156,TTI1_HUMAN,TTI1,TELO2-interacting protein 1 homolog,8,8,44924.4,48777,42202.5
O43157,PLXB1_HUMAN,PLXNB1,Plexin-B1,2,2,6694.44,8422.36,9478.86
O43159,RRP8_HUMAN,RRP8,Ribosomal RNA-processing protein 8,6,6,61934.5,76942.6,66433
O43166,SI1L1_HUMAN,SIPA1L1,Signal-induced proliferation-associated 1-like protein 1,12,12,10393.2,7720.98,10136
O43167,ZBT24_HUMAN,ZBTB24,Zinc finger and BTB domain-containing protein 24,2,2,3650.32,1410.38,
O43169,CYB5B_HUMAN,CYB5B,Cytochrome b5 type B,3,3,699094,920224,924936
O43172,PRP4_HUMAN,PRPF4,U4/U6 small nuclear ribonucleoprotein Prp4,12,12,175474,172017,179151
O43175,SERA_HUMAN,PHGDH,D-3-phosphoglycerate dehydrogenase,17,17,3.43E+06,3.32E+06,2.79E+06
O43181,NDUS4_HUMAN,NDUFS4,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial",3,3,71628.9,75671.1,66713.5
O43237,DC1L2_HUMAN,DYNC1LI2,Cytoplasmic dynein 1 light intermediate chain 2,6,6,316384,300669,292150
O43242,PSMD3_HUMAN,PSMD3,26S proteasome non-ATPase regulatory subunit 3,14,14,312796,320965,283845
O43252,PAPS1_HUMAN,PAPSS1,Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 1,9,9,28950.7,29847.2,27169.4
O43264,ZW10_HUMAN,ZW10,Centromere/kinetochore protein zw10 homolog,11,11,44212.3,45570.9,44824.3
O43286,B4GT5_HUMAN,B4GALT5,"Beta-1,4-galactosyltransferase 5",1,1,7199.93,10650.7,11352.4
O43290,SNUT1_HUMAN,SART1,U4/U6.U5 tri-snRNP-associated protein 1,13,13,97412.8,116950,118558
O43292,GPAA1_HUMAN,GPAA1,Glycosylphosphatidylinositol anchor attachment 1 protein,3,3,89115,63319.2,80532.5
O43293,DAPK3_HUMAN,DAPK3,Death-associated protein kinase 3,4,4,51804.2,39767.7,28640.3
O43294,TGFI1_HUMAN,TGFB1I1,Transforming growth factor beta-1-induced transcript 1 protein,2,2,,4946.98,
O43314,VIP2_HUMAN,PPIP5K2,Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 2,4,4,11508.2,10277.5,11257.4
O43318,M3K7_HUMAN,MAP3K7,Mitogen-activated protein kinase kinase kinase 7,2,2,16453.8,10734.6,10485.6
O43324,MCA3_HUMAN,EEF1E1,Eukaryotic translation elongation factor 1 epsilon-1,7,7,393446,389022,344039
O43353,RIPK2_HUMAN,RIPK2,Receptor-interacting serine/threonine-protein kinase 2,1,1,7929.01,,6614.93
O43379,WDR62_HUMAN,WDR62,WD repeat-containing protein 62,4,4,3067.47,3315.86,3587.31
O43390,HNRPR_HUMAN,HNRNPR,Heterogeneous nuclear ribonucleoprotein R,19,12,1.32E+06,1.17E+06,1.07E+06
O43395,PRPF3_HUMAN,PRPF3,U4/U6 small nuclear ribonucleoprotein Prp3,12,12,116797,93471.1,100471
O43396,TXNL1_HUMAN,TXNL1,Thioredoxin-like protein 1,4,4,285631,391448,379460
O43399,TPD54_HUMAN,TPD52L2,Tumor protein D54,7,7,690202,605568,615138
O43402,EMC8_HUMAN,EMC8,ER membrane protein complex subunit 8,3,3,45911.4,47242.5,48873
O43414,ERI3_HUMAN,ERI3,ERI1 exoribonuclease 3,2,2,61039.7,45441.6,46871.2
O43422,P52K_HUMAN,THAP12,52 kDa repressor of the inhibitor of the protein kinase,7,7,8278.1,7756.47,5837.42
O43426,SYNJ1_HUMAN,SYNJ1,Synaptojanin-1,9,8,19852.6,20969.9,29404.3
O43427,FIBP_HUMAN,FIBP,Acidic fibroblast growth factor intracellular-binding protein,4,4,11114.9,10734,15354
O43432,IF4G3_HUMAN,EIF4G3,Eukaryotic translation initiation factor 4 gamma 3,14,14,23284,18894.7,18619.1
O43447,PPIH_HUMAN,PPIH,Peptidyl-prolyl cis-trans isomerase H,5,5,216661,178882,219491
O43463,SUV91_HUMAN,SUV39H1,Histone-lysine N-methyltransferase SUV39H1,3,3,2974.92,4052.66,3771.86
O43464,HTRA2_HUMAN,HTRA2,"Serine protease HTRA2, mitochondrial",6,5,53504.1,53536.1,55408.9
O43488,ARK72_HUMAN,AKR7A2,Aflatoxin B1 aldehyde reductase member 2,7,5,114037,87543.2,99592.6
O43491,E41L2_HUMAN,EPB41L2,Band 4.1-like protein 2,16,15,69974.6,82165.8,82789.5
O43493,TGON2_HUMAN,TGOLN2,Trans-Golgi network integral membrane protein 2,6,6,45540,63934.2,67922.6
O43505,B4GA1_HUMAN,B4GAT1,"Beta-1,4-glucuronyltransferase 1",2,2,145222,145645,125864
O43572,AKA10_HUMAN,AKAP10,"A-kinase anchor protein 10, mitochondrial",3,3,6561.57,10728.1,10428.3
O43583,DENR_HUMAN,DENR,Density-regulated protein,4,4,264564,276958,275182
O43592,XPOT_HUMAN,XPOT,Exportin-T,15,15,311880,282804,285503
O43598,DNPH1_HUMAN,DNPH1,5-hydroxymethyl-dUMP N-hydrolase,2,2,5401.3,5819.18,4247.95
O43615,TIM44_HUMAN,TIMM44,Mitochondrial import inner membrane translocase subunit TIM44,13,13,211512,160019,157635
O43617,TPPC3_HUMAN,TRAPPC3,Trafficking protein particle complex subunit 3,4,4,93589,99551.7,110433
O43633,CHM2A_HUMAN,CHMP2A,Charged multivesicular body protein 2a,3,3,81535.4,98162.8,95019.5
O43657,TSN6_HUMAN,TSPAN6,Tetraspanin-6,3,3,39401.8,42503.5,41249.2
O43660,PLRG1_HUMAN,PLRG1,Pleiotropic regulator 1,7,7,65948.5,50375.5,41798.4
O43663,PRC1_HUMAN,PRC1,Protein regulator of cytokinesis 1,5,5,24532,27459,29259.4
O43665,RGS10_HUMAN,RGS10,Regulator of G-protein signaling 10,1,1,8292.31,6808.63,8947.23
O43670,ZN207_HUMAN,ZNF207,BUB3-interacting and GLEBS motif-containing protein ZNF207,6,6,198990,255231,265267
O43674,NDUB5_HUMAN,NDUFB5,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 5, mitochondrial",2,2,332609,298587,252733
O43676,NDUB3_HUMAN,NDUFB3,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3,2,2,74066.3,45033.8,74921.6
O43677,NDUC1_HUMAN,NDUFC1,"NADH dehydrogenase [ubiquinone] 1 subunit C1, mitochondrial",1,1,16182.7,21485.4,22182.3
O43678,NDUA2_HUMAN,NDUFA2,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2,1,1,614.99,,264.837
O43681,GET3_HUMAN,GET3,ATPase GET3,6,6,148390,124675,121932
O43684,BUB3_HUMAN,BUB3,Mitotic checkpoint protein BUB3,12,12,408980,439446,421143
O43688,PLPP2_HUMAN,PLPP2,Phospholipid phosphatase 2,1,1,35671.7,30074.5,47784.5
O43707,ACTN4_HUMAN,ACTN4,Alpha-actinin-4,31,18,1.08E+06,1.09E+06,1.11E+06
O43709,BUD23_HUMAN,BUD23,18S rRNA (guanine-N(7))-methyltransferase,2,2,,,8054.17
O43715,TRIA1_HUMAN,TRIAP1,TP53-regulated inhibitor of apoptosis 1,4,4,49833.3,59793.6,43538
O43716,GATC_HUMAN,GATC,"Glutamyl-tRNA(Gln) amidotransferase subunit C, mitochondrial",2,2,17491.5,9188.24,11629.1
O43719,HTSF1_HUMAN,HTATSF1,17S U2 SnRNP complex component HTATSF1,10,10,89024.6,93905,91485.1
O43741,AAKB2_HUMAN,PRKAB2,5'-AMP-activated protein kinase subunit beta-2,1,1,673.966,,1559.2
O43747,AP1G1_HUMAN,AP1G1,AP-1 complex subunit gamma-1,8,8,126579,111155,119050
O43752,STX6_HUMAN,STX6,Syntaxin-6,5,5,24875.7,21082.6,20623.3
O43760,SNG2_HUMAN,SYNGR2,Synaptogyrin-2,2,2,117491,139768,96547.7
O43765,SGTA_HUMAN,SGTA,Small glutamine-rich tetratricopeptide repeat-containing protein alpha,4,4,196065,182173,167641
O43772,MCAT_HUMAN,SLC25A20,Mitochondrial carnitine/acylcarnitine carrier protein,2,2,57598.1,74946,84471.3
O43776,SYNC_HUMAN,NARS1,"Asparagine--tRNA ligase, cytoplasmic",10,10,1.02E+06,949152,887508
O43795,MYO1B_HUMAN,MYO1B,Unconventional myosin-Ib,13,12,25443,24533.6,20053.6
O43805,SSNA1_HUMAN,SSNA1,Microtubule nucleation factor SSNA1,2,2,9849.12,16963.4,12768.3
O43808,PM34_HUMAN,SLC25A17,Peroxisomal membrane protein PMP34,1,1,,,
O43809,CPSF5_HUMAN,NUDT21,Cleavage and polyadenylation specificity factor subunit 5,4,4,392094,375197,407563
O43813,LANC1_HUMAN,LANCL1,Glutathione S-transferase LANCL1,9,9,312296,300403,263609
O43815,STRN_HUMAN,STRN,Striatin,8,8,84372.9,69849.2,62209.5
O43818,U3IP2_HUMAN,RRP9,U3 small nucleolar RNA-interacting protein 2,6,6,97465.7,95635.3,102136
O43823,AKAP8_HUMAN,AKAP8,A-kinase anchor protein 8,7,7,59024.9,59649.3,58671.2
O43824,GTPB6_HUMAN,GTPBP6,Putative GTP-binding protein 6,6,6,21629.8,22291.3,26710
O43826,G6PT1_HUMAN,SLC37A4,Glucose-6-phosphate exchanger SLC37A4,1,1,14205.6,,10631.9
O43829,ZBT14_HUMAN,ZBTB14,Zinc finger and BTB domain-containing protein 14,1,1,760.744,1128.54,607.178
O43837,IDH3B_HUMAN,IDH3B,"Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial",10,10,93033.8,90541.7,98885.1
O43847,NRDC_HUMAN,NRDC,Nardilysin,11,11,119010,128979,98861.8
O43852,CALU_HUMAN,CALU,Calumenin,5,5,777078,741376,762324
O43865,SAHH2_HUMAN,AHCYL1,S-adenosylhomocysteine hydrolase-like protein 1,10,4,243575,279649,291740
O43896,KIF1C_HUMAN,KIF1C,Kinesin-like protein KIF1C,3,3,4159.54,5850.39,6812.27
O43913,ORC5_HUMAN,ORC5,Origin recognition complex subunit 5,5,5,27000.6,24390.2,26556.2
O43920,NDUS5_HUMAN,NDUFS5,NADH dehydrogenase [ubiquinone] iron-sulfur protein 5,2,2,146514,132465,143690
O43924,PDE6D_HUMAN,PDE6D,"Retinal rod rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit delta",3,3,21293.6,21053.7,16253
O43929,ORC4_HUMAN,ORC4,Origin recognition complex subunit 4,4,4,41136.7,33320.8,31771.2
O43933,PEX1_HUMAN,PEX1,Peroxisomal ATPase PEX1,2,2,11512.4,6200.28,5743.09
O60216,RAD21_HUMAN,RAD21,Double-strand-break repair protein rad21 homolog,14,14,148333,134232,126542
O60220,TIM8A_HUMAN,TIMM8A,Mitochondrial import inner membrane translocase subunit Tim8 A,3,3,243947,195902,179860
O60231,DHX16_HUMAN,DHX16,Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX16,11,11,66486.1,71454.4,63258.4
O60232,ZNRD2_HUMAN,ZNRD2,Protein ZNRD2,5,5,72063.7,70591.8,70931.2
O60238;Q12983,BNI3L_HUMAN;BNIP3_HUMAN,BNIP3;BNIP3L,BCL2/adenovirus E1B 19 kDa protein-interacting protein 3-like,1,0,10597,,
O60244,MED14_HUMAN,MED14,Mediator of RNA polymerase II transcription subunit 14,10,10,17217.9,17296,18238.1
O60256,KPRB_HUMAN,PRPSAP2,Phosphoribosyl pyrophosphate synthase-associated protein 2,6,6,57520.3,66756.9,68345.7
O60264,SMCA5_HUMAN,SMARCA5,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5,22,14,230604,241552,251291
O60271,JIP4_HUMAN,SPAG9,C-Jun-amino-terminal kinase-interacting protein 4,17,15,62255.3,60696.4,62901.1
O60287,NPA1P_HUMAN,URB1,Nucleolar pre-ribosomal-associated protein 1,24,24,35671.9,31993.2,34994.6
O60293,ZC3H1_HUMAN,ZFC3H1,Zinc finger C3H1 domain-containing protein,8,8,10937.8,9258.8,10364.1
O60294,TYW4_HUMAN,LCMT2,tRNA wybutosine-synthesizing protein 4,6,6,10551.6,13648.5,12355.8
O60306,AQR_HUMAN,AQR,RNA helicase aquarius,15,15,77449,74216.9,73056.1
O60313,OPA1_HUMAN,OPA1,"Dynamin-like GTPase OPA1, mitochondrial",16,16,102732,84447,85486.1
O60318,GANP_HUMAN,MCM3AP,Germinal-center associated nuclear protein,8,8,9069.32,12564.3,11137.9
O60333,KIF1B_HUMAN,KIF1B,Kinesin-like protein KIF1B,8,6,17088.5,21431.3,20264
O60341,KDM1A_HUMAN,KDM1A,Lysine-specific histone demethylase 1A,14,14,100529,93817.9,91577.4
O60343,TBCD4_HUMAN,TBC1D4,TBC1 domain family member 4,15,15,27774.6,25453.3,22943.7
O60346,PHLP1_HUMAN,PHLPP1,PH domain leucine-rich repeat-containing protein phosphatase 1,2,2,1830.65,,1668.01
O60427,FADS1_HUMAN,FADS1,Acyl-CoA (8-3)-desaturase,5,5,69732.2,49977.1,43956.5
O60437,PEPL_HUMAN,PPL,Periplakin,29,29,48867.2,53174.1,54162.7
O60443,GSDME_HUMAN,GSDME,Gasdermin-E,4,4,56668.3,62745.9,68440.3
O60447,EVI5_HUMAN,EVI5,Ecotropic viral integration site 5 protein homolog,3,3,8060.15,12226.3,8408.77
O60487,MPZL2_HUMAN,MPZL2,Myelin protein zero-like protein 2,2,2,,29827.8,
O60488,ACSL4_HUMAN,ACSL4,Long-chain-fatty-acid--CoA ligase 4,17,15,391773,334401,299578
O60493,SNX3_HUMAN,SNX3,Sorting nexin-3,2,2,5379.12,,1668.2
O60499,STX10_HUMAN,STX10,Syntaxin-10,1,1,20771.5,21672,20664.9
O60502,OGA_HUMAN,OGA,Protein O-GlcNAcase,9,9,95932.7,93159.6,99552
O60503,ADCY9_HUMAN,ADCY9,Adenylate cyclase type 9,1,1,,511.834,563.136
O60504,VINEX_HUMAN,SORBS3,Vinexin,6,6,45624.3,57242.2,53618
O60506,HNRPQ_HUMAN,SYNCRIP,Heterogeneous nuclear ribonucleoprotein Q,13,13,1.59E+06,1.33E+06,1.19E+06
O60508,PRP17_HUMAN,CDC40,Pre-mRNA-processing factor 17,7,7,51391.2,49880,41967.2
O60518,RNBP6_HUMAN,RANBP6,Ran-binding protein 6,6,6,217228,210360,225110
O60524,NEMF_HUMAN,NEMF,Ribosome quality control complex subunit NEMF,11,11,70095.2,92639.6,91105.6
O60547,GMDS_HUMAN,GMDS,"GDP-mannose 4,6 dehydratase",7,6,68644.7,71226,66669
O60563,CCNT1_HUMAN,CCNT1,Cyclin-T1,6,5,55245.2,66470.1,42773.1
O60566,BUB1B_HUMAN,BUB1B,Mitotic checkpoint serine/threonine-protein kinase BUB1 beta,12,12,22402.4,20642.8,19844.9
O60568,PLOD3_HUMAN,PLOD3,Multifunctional procollagen lysine hydroxylase and glycosyltransferase LH3,13,13,335224,309948,301753
O60573,IF4E2_HUMAN,EIF4E2,Eukaryotic translation initiation factor 4E type 2,3,3,36712.8,22198.8,26540.2
O60610,DIAP1_HUMAN,DIAPH1,Protein diaphanous homolog 1,25,25,121015,113177,116141
O60613,SEP15_HUMAN,SELENOF,Selenoprotein F,2,2,68983.5,62554.9,57019.6
O60645,EXOC3_HUMAN,EXOC3,Exocyst complex component 3,6,6,34471.7,43527.2,43685.2
O60658,PDE8A_HUMAN,PDE8A,"High affinity cAMP-specific and IBMX-insensitive 3',5'-cyclic phosphodiesterase 8A",4,4,3103.54,2530.04,4147.72
O60664,PLIN3_HUMAN,PLIN3,Perilipin-3,7,7,636263,565986,597633
O60669,MOT2_HUMAN,SLC16A7,Monocarboxylate transporter 2,1,1,7179.17,12919.2,12476
O60675,MAFK_HUMAN,MAFK,Transcription factor MafK,3,3,20277.9,22977.1,25594
O60678,ANM3_HUMAN,PRMT3,Protein arginine N-methyltransferase 3,7,7,93121.3,85632.9,73555.6
O60684,IMA7_HUMAN,KPNA6,Importin subunit alpha-7,11,6,172638,153943,151134
O60701,UGDH_HUMAN,UGDH,UDP-glucose 6-dehydrogenase,9,9,240020,273840,244781
O60716,CTND1_HUMAN,CTNND1,Catenin delta-1,12,12,90059.7,81491,89978.3
O60749,SNX2_HUMAN,SNX2,Sorting nexin-2,8,8,132987,118236,109008
O60762,DPM1_HUMAN,DPM1,Dolichol-phosphate mannosyltransferase subunit 1,4,4,270124,199057,200342
O60763,USO1_HUMAN,USO1,General vesicular transport factor p115,12,12,157907,163563,149438
O60779,S19A2_HUMAN,SLC19A2,Thiamine transporter 1,1,1,3987.74,3941.51,5705.68
O60783,RT14_HUMAN,MRPS14,Small ribosomal subunit protein uS14m,1,1,17589,14755.2,14266.6
O60784,TOM1_HUMAN,TOM1,Target of Myb1 membrane trafficking protein,3,3,8057.84,16273.5,4398.4
O60814;P57053;P58876;P62807;Q5QNW6;Q93079;Q99877;Q99879;Q99880,H2B1C_HUMAN;H2B1D_HUMAN;H2B1H_HUMAN;H2B1K_HUMAN;H2B1L_HUMAN;H2B1M_HUMAN;H2B1N_HUMAN;H2B2F_HUMAN;H2BFS_HUMAN,H2BC12;H2BC12L;H2BC13;H2BC14;H2BC15;H2BC18;H2BC4;H2BC5;H2BC9,Histone H2B type 1-K,3,0,61841.5,68267.9,68698.6
O60825,F262_HUMAN,PFKFB2,"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 2",11,8,61656.6,45583.9,47032.8
O60826,CCD22_HUMAN,CCDC22,Coiled-coil domain-containing protein 22,7,7,47688.9,35507.2,34358.9
O60828,PQBP1_HUMAN,PQBP1,Polyglutamine-binding protein 1,4,4,91726,75715.5,72748
O60830,TI17B_HUMAN,TIMM17B,Mitochondrial import inner membrane translocase subunit Tim17-B,2,2,6668.1,6511.6,
O60831,PRAF2_HUMAN,PRAF2,PRA1 family protein 2,2,2,16619,11187.7,13418.4
O60832,DKC1_HUMAN,DKC1,H/ACA ribonucleoprotein complex subunit DKC1,11,11,290455,336294,343834
O60841,IF2P_HUMAN,EIF5B,Eukaryotic translation initiation factor 5B,19,18,404615,404166,372300
O60869,EDF1_HUMAN,EDF1,Endothelial differentiation-related factor 1,2,2,99894,101667,112382
O60870,KIN17_HUMAN,KIN,DNA/RNA-binding protein KIN17,6,6,12746.6,11019.6,11329
O60879,DIAP2_HUMAN,DIAPH2,Protein diaphanous homolog 2,10,10,40754.7,37688.4,41333
O60884,DNJA2_HUMAN,DNAJA2,DnaJ homolog subfamily A member 2,6,6,183570,203597,185252
O60885,BRD4_HUMAN,BRD4,Bromodomain-containing protein 4,16,13,295794,295684,283560
O60888,CUTA_HUMAN,CUTA,Protein CutA,3,3,253973,206777,201082
O60890,OPHN1_HUMAN,OPHN1,Oligophrenin-1,1,1,,3214.76,
O60906,NSMA_HUMAN,SMPD2,Sphingomyelin phosphodiesterase 2,2,2,1886.61,,
O60907,TBL1X_HUMAN,TBL1X,F-box-like/WD repeat-containing protein TBL1X,7,6,66385.1,57151.4,69212.7
O60921,HUS1_HUMAN,HUS1,Checkpoint protein HUS1,5,5,102963,103937,110195
O60925,PFD1_HUMAN,PFDN1,Prefoldin subunit 1,5,5,164857,171670,139867
O60927,PP1RB_HUMAN,PPP1R11,E3 ubiquitin-protein ligase PPP1R11,1,1,36306.8,36835.4,46619.9
O60930,RNH1_HUMAN,RNASEH1,Ribonuclease H1,3,3,4343.62,9096.77,
O60934,NBN_HUMAN,NBN,Nibrin,13,13,63983.9,63495.4,61388.2
O60936,NOL3_HUMAN,NOL3,Nucleolar protein 3,3,3,53051.8,51690.6,48175.9
O60942,MCE1_HUMAN,RNGTT,mRNA-capping enzyme,5,5,17322.7,23309.4,24889.6
O74700,TIM9_YEAST,TIM9,Mitochondrial import inner membrane translocase subunit TIM9,3,3,235762,276938,272364
