Protein.Group,Protein.Names,Genes,First.Protein.Description,N.Sequences,N.Proteotypic.Sequences,HYEA_rep111,HYEA_rep112,HYEA_rep113,HYEA_rep114
O15533,TPSN_HUMAN,TAPBP,Tapasin,1,1,28957.3,33423,25636.2,36851.3
O15541,R113A_HUMAN,RNF113A,E3 ubiquitin-protein ligase RNF113A,3,2,15707.3,13525.6,15439,14597.3
O15554,KCNN4_HUMAN,KCNN4,Intermediate conductance calcium-activated potassium channel protein 4,1,1,,,,
O43137,YB085_YEAST,YBR085C-A,Uncharacterized protein YBR085C-A,1,1,223877,314032,251416,296913
O43143,DHX15_HUMAN,DHX15,ATP-dependent RNA helicase DHX15,11,9,291080,396285,347093,384149
O43148,MCES_HUMAN,RNMT,mRNA cap guanine-N(7) methyltransferase,8,8,95181.3,75718,95456.7,91159.2
O43149,ZZEF1_HUMAN,ZZEF1,Zinc finger ZZ-type and EF-hand domain-containing protein 1,4,4,6630.62,12840.7,,5868
O43156,TTI1_HUMAN,TTI1,TELO2-interacting protein 1 homolog,5,5,34421,28400.2,44701.9,44390.9
O43157,PLXB1_HUMAN,PLXNB1,Plexin-B1,1,1,,,,
O43159,RRP8_HUMAN,RRP8,Ribosomal RNA-processing protein 8,4,4,50538.6,67107,55872.6,54035.7
O43169,CYB5B_HUMAN,CYB5B,Cytochrome b5 type B,1,1,598328,573738,546662,632989
O43172,PRP4_HUMAN,PRPF4,U4/U6 small nuclear ribonucleoprotein Prp4,6,6,120532,126661,120898,124020
O43175,SERA_HUMAN,PHGDH,D-3-phosphoglycerate dehydrogenase,13,13,3.95E+06,4.29E+06,4.09E+06,4.38E+06
O43181,NDUS4_HUMAN,NDUFS4,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial",1,1,8817.93,,4824.36,
O43189,PHF1_HUMAN,PHF1,PHD finger protein 1,1,1,,,,
O43237,DC1L2_HUMAN,DYNC1LI2,Cytoplasmic dynein 1 light intermediate chain 2,5,5,74677.3,101268,94669,101599
O43242,PSMD3_HUMAN,PSMD3,26S proteasome non-ATPase regulatory subunit 3,11,11,455530,592553,532089,588310
O43252,PAPS1_HUMAN,PAPSS1,Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 1,3,3,13416.7,13479.8,10337.8,11937.2
O43264,ZW10_HUMAN,ZW10,Centromere/kinetochore protein zw10 homolog,5,5,51052.8,83358.2,52760.8,52415.3
O43290,SNUT1_HUMAN,SART1,U4/U6.U5 tri-snRNP-associated protein 1,9,9,101070,123108,100309,106541
O43292,GPAA1_HUMAN,GPAA1,Glycosylphosphatidylinositol anchor attachment 1 protein,2,2,,,1899.19,1341.32
O43293,DAPK3_HUMAN,DAPK3,Death-associated protein kinase 3,2,2,5305.85,5945.02,,5365.96
O43294,TGFI1_HUMAN,TGFB1I1,Transforming growth factor beta-1-induced transcript 1 protein,2,2,,484.748,,1326.08
O43314,VIP2_HUMAN,PPIP5K2,Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 2,3,3,2533.84,3216.32,3869.23,2493.08
O43324,MCA3_HUMAN,EEF1E1,Eukaryotic translation elongation factor 1 epsilon-1,3,3,400694,471824,479072,474744
O43353,RIPK2_HUMAN,RIPK2,Receptor-interacting serine/threonine-protein kinase 2,1,1,,,,
O43390,HNRPR_HUMAN,HNRNPR,Heterogeneous nuclear ribonucleoprotein R,8,8,663841,753275,743522,784188
O43395,PRPF3_HUMAN,PRPF3,U4/U6 small nuclear ribonucleoprotein Prp3,6,6,87496.3,81834.2,74682.4,113453
O43396,TXNL1_HUMAN,TXNL1,Thioredoxin-like protein 1,4,4,269055,332484,318759,366063
O43399,TPD54_HUMAN,TPD52L2,Tumor protein D54,8,8,824694,884732,830570,905926
O43402,EMC8_HUMAN,EMC8,ER membrane protein complex subunit 8,2,2,5632.78,,5461.04,7490.9
O43426,SYNJ1_HUMAN,SYNJ1,Synaptojanin-1,4,3,31137.1,18938.2,25175.9,33997.2
O43432,IF4G3_HUMAN,EIF4G3,Eukaryotic translation initiation factor 4 gamma 3,6,6,4524.72,4160.6,6452.94,4115.59
O43447,PPIH_HUMAN,PPIH,Peptidyl-prolyl cis-trans isomerase H,5,5,32144.2,42971.6,43214.9,36223.2
O43464,HTRA2_HUMAN,HTRA2,"Serine protease HTRA2, mitochondrial",3,2,23816.6,24808.7,24134.1,18402.4
O43488,ARK72_HUMAN,AKR7A2,Aflatoxin B1 aldehyde reductase member 2,3,2,71941.5,74369.8,58038.5,57005.7
O43491,E41L2_HUMAN,EPB41L2,Band 4.1-like protein 2,12,11,36891.1,41027.4,38243.2,38210.8
O43493,TGON2_HUMAN,TGOLN2,Trans-Golgi network integral membrane protein 2,2,2,21790.4,,22014.3,19951.1
O43505,B4GA1_HUMAN,B4GAT1,"Beta-1,4-glucuronyltransferase 1",1,1,10619.4,14948.7,13226.5,
O43572,AKA10_HUMAN,AKAP10,"A-kinase anchor protein 10, mitochondrial",2,2,25761.4,,,
O43583,DENR_HUMAN,DENR,Density-regulated protein,2,2,377314,112713,355860,391438
O43592,XPOT_HUMAN,XPOT,Exportin-T,6,6,290730,328939,299458,313310
O43615,TIM44_HUMAN,TIMM44,Mitochondrial import inner membrane translocase subunit TIM44,7,7,60013.4,77526.9,68734.9,51315.2
O43617,TPPC3_HUMAN,TRAPPC3,Trafficking protein particle complex subunit 3,2,2,60901.1,73791.9,79730.4,89446.2
O43633,CHM2A_HUMAN,CHMP2A,Charged multivesicular body protein 2a,2,2,237496,291391,254100,328586
O43653,PSCA_HUMAN,PSCA,Prostate stem cell antigen,1,1,,,,
O43657,TSN6_HUMAN,TSPAN6,Tetraspanin-6,1,1,,16823.2,,
O43660,PLRG1_HUMAN,PLRG1,Pleiotropic regulator 1,4,4,29540.2,46115.5,42924.1,40524
O43663,PRC1_HUMAN,PRC1,Protein regulator of cytokinesis 1,3,3,,41369.3,33769.2,40779.9
O43670,ZN207_HUMAN,ZNF207,BUB3-interacting and GLEBS motif-containing protein ZNF207,3,3,345113,362915,345520,373223
O43674,NDUB5_HUMAN,NDUFB5,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 5, mitochondrial",1,1,223754,259976,208568,178104
O43676,NDUB3_HUMAN,NDUFB3,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3,1,1,281439,319532,334897,395012
O43681,GET3_HUMAN,GET3,ATPase GET3,4,4,60250.4,115321,115967,120041
O43684,BUB3_HUMAN,BUB3,Mitotic checkpoint protein BUB3,8,8,307473,359709,343160,332482
O43688,PLPP2_HUMAN,PLPP2,Phospholipid phosphatase 2,1,1,,,8529.54,7801.18
O43707,ACTN4_HUMAN,ACTN4,Alpha-actinin-4,22,16,992921,1.21E+06,1.08E+06,1.15E+06
O43715,TRIA1_HUMAN,TRIAP1,TP53-regulated inhibitor of apoptosis 1,1,1,53485.5,59781.6,57054.5,55063.7
O43716,GATC_HUMAN,GATC,"Glutamyl-tRNA(Gln) amidotransferase subunit C, mitochondrial",2,2,,,,4282.34
O43719,HTSF1_HUMAN,HTATSF1,17S U2 SnRNP complex component HTATSF1,7,7,94818.4,105491,102738,103777
O43747,AP1G1_HUMAN,AP1G1,AP-1 complex subunit gamma-1,5,5,110052,158039,127101,131672
O43752,STX6_HUMAN,STX6,Syntaxin-6,4,4,15036.4,9747.09,11918.3,13597.5
O43760,SNG2_HUMAN,SYNGR2,Synaptogyrin-2,1,1,96855.6,127254,94848.5,121585
O43765,SGTA_HUMAN,SGTA,Small glutamine-rich tetratricopeptide repeat-containing protein alpha,4,4,153443,148740,174984,160367
O43772,MCAT_HUMAN,SLC25A20,Mitochondrial carnitine/acylcarnitine carrier protein,3,3,45539.7,42593.1,42346.7,62241.5
O43776,SYNC_HUMAN,NARS1,"Asparagine--tRNA ligase, cytoplasmic",6,6,662523,722514,698707,669924
O43795,MYO1B_HUMAN,MYO1B,Unconventional myosin-Ib,9,8,15761.7,10654.6,17003.1,22786.7
O43805,SSNA1_HUMAN,SSNA1,Microtubule nucleation factor SSNA1,1,1,,12544.2,,16238.8
O43809,CPSF5_HUMAN,NUDT21,Cleavage and polyadenylation specificity factor subunit 5,2,2,378740,470254,365325,464258
O43813,LANC1_HUMAN,LANCL1,Glutathione S-transferase LANCL1,7,7,430783,519417,421042,438155
O43815,STRN_HUMAN,STRN,Striatin,4,4,19145.7,27772.1,24335.5,24004.9
O43818,U3IP2_HUMAN,RRP9,U3 small nucleolar RNA-interacting protein 2,6,6,111549,136451,96603.9,130614
O43823,AKAP8_HUMAN,AKAP8,A-kinase anchor protein 8,5,5,55830.9,71469.3,66616.7,75307.5
O43824,GTPB6_HUMAN,GTPBP6,Putative GTP-binding protein 6,2,2,,5142.82,,6305.24
O43826,G6PT1_HUMAN,SLC37A4,Glucose-6-phosphate exchanger SLC37A4,1,1,31454,,38616.1,13627.6
O43837,IDH3B_HUMAN,IDH3B,"Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial",6,6,117824,132775,95471.9,143048
O43847,NRDC_HUMAN,NRDC,Nardilysin,6,6,101181,92945,97223.8,109207
O43852,CALU_HUMAN,CALU,Calumenin,4,4,861930,994574,887924,966987
O43865,SAHH2_HUMAN,AHCYL1,S-adenosylhomocysteine hydrolase-like protein 1,6,1,198110,206184,189463,207099
O43896,KIF1C_HUMAN,KIF1C,Kinesin-like protein KIF1C,1,1,,,,
O43913,ORC5_HUMAN,ORC5,Origin recognition complex subunit 5,3,3,28507.3,32066.6,14384.8,23023.5
O43920,NDUS5_HUMAN,NDUFS5,NADH dehydrogenase [ubiquinone] iron-sulfur protein 5,1,1,51475.8,73484,69847.9,53107.1
O43924,PDE6D_HUMAN,PDE6D,"Retinal rod rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit delta",2,2,,1632.89,,2278.76
O43929,ORC4_HUMAN,ORC4,Origin recognition complex subunit 4,2,2,13782.4,16699.6,,8666.91
O43933,PEX1_HUMAN,PEX1,Peroxisomal ATPase PEX1,1,1,,,,
O60216,RAD21_HUMAN,RAD21,Double-strand-break repair protein rad21 homolog,8,8,112254,106597,105200,104353
O60218,AK1BA_HUMAN,AKR1B10,Aldo-keto reductase family 1 member B10,1,1,,6372.41,,
O60220,TIM8A_HUMAN,TIMM8A,Mitochondrial import inner membrane translocase subunit Tim8 A,3,3,155179,152219,148864,139295
O60231,DHX16_HUMAN,DHX16,Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX16,7,7,45668.8,42044.4,48579,42931.6
O60232,ZNRD2_HUMAN,ZNRD2,Protein ZNRD2,2,2,17381.4,25565.6,17344.5,18647
O60244,MED14_HUMAN,MED14,Mediator of RNA polymerase II transcription subunit 14,3,3,2460.03,,4618.76,2479.18
O60256,KPRB_HUMAN,PRPSAP2,Phosphoribosyl pyrophosphate synthase-associated protein 2,5,4,50524.5,55299.2,55401.7,56296.1
O60264,SMCA5_HUMAN,SMARCA5,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5,18,12,288873,308460,258252,289923
O60266,ADCY3_HUMAN,ADCY3,Adenylate cyclase type 3,1,1,,,,
O60271,JIP4_HUMAN,SPAG9,C-Jun-amino-terminal kinase-interacting protein 4,10,9,270853,353101,360281,309952
O60287,NPA1P_HUMAN,URB1,Nucleolar pre-ribosomal-associated protein 1,7,7,28556,25354,28560.5,28070
O60293,ZC3H1_HUMAN,ZFC3H1,Zinc finger C3H1 domain-containing protein,6,6,7483.53,,8333.65,10013.1
O60294,TYW4_HUMAN,LCMT2,tRNA wybutosine-synthesizing protein 4,1,1,2141.79,,10222.3,4013.55
O60306,AQR_HUMAN,AQR,RNA helicase aquarius,12,11,125297,171507,136451,158640
O60313,OPA1_HUMAN,OPA1,"Dynamin-like GTPase OPA1, mitochondrial",9,9,60125.5,81909.9,63790.6,76925
O60318,GANP_HUMAN,MCM3AP,Germinal-center associated nuclear protein,1,1,,,4542.3,
O60333,KIF1B_HUMAN,KIF1B,Kinesin-like protein KIF1B,6,4,3670.59,,,
O60341,KDM1A_HUMAN,KDM1A,Lysine-specific histone demethylase 1A,9,9,34097.6,33644.7,31845.9,31528.5
O60343,TBCD4_HUMAN,TBC1D4,TBC1 domain family member 4,8,8,8002.93,4432.54,7907.23,5958.09
O60361,NDK8_HUMAN,NME2P1,Putative nucleoside diphosphate kinase,3,0,1.18E+06,1.36E+06,1.16E+06,1.15E+06
O60427,FADS1_HUMAN,FADS1,Acyl-CoA (8-3)-desaturase,4,4,29320.2,31969.2,23846,42310.8
O60437,PEPL_HUMAN,PPL,Periplakin,13,13,23766.8,28361.1,34166.5,34643.3
O60443,GSDME_HUMAN,GSDME,Gasdermin-E,3,3,16056.2,22705.6,18953.4,22448.9
O60447,EVI5_HUMAN,EVI5,Ecotropic viral integration site 5 protein homolog,1,1,,,,
O60487,MPZL2_HUMAN,MPZL2,Myelin protein zero-like protein 2,1,1,21357.3,13569.6,,23712.5
O60488,ACSL4_HUMAN,ACSL4,Long-chain-fatty-acid--CoA ligase 4,10,10,403318,479304,421154,425425
O60493,SNX3_HUMAN,SNX3,Sorting nexin-3,2,1,769928,896990,784337,780619
O60499,STX10_HUMAN,STX10,Syntaxin-10,1,1,2372.07,3227.57,6794.81,5311.91
O60502,OGA_HUMAN,OGA,Protein O-GlcNAcase,5,5,52775.9,73954.8,55021.4,54827.1
O60504,VINEX_HUMAN,SORBS3,Vinexin,3,3,,,,64810.8
O60506,HNRPQ_HUMAN,SYNCRIP,Heterogeneous nuclear ribonucleoprotein Q,10,6,595704,746473,606494,547838
O60508,PRP17_HUMAN,CDC40,Pre-mRNA-processing factor 17,6,6,21496.2,30571.1,33165,18084.8
O60518,RNBP6_HUMAN,RANBP6,Ran-binding protein 6,3,3,4444.71,9215.89,16594.5,10894.8
O60524,NEMF_HUMAN,NEMF,Ribosome quality control complex subunit NEMF,8,8,52081.1,59935.4,51741.1,58348.9
O60547,GMDS_HUMAN,GMDS,"GDP-mannose 4,6 dehydratase",3,2,50285.1,45956.1,48399.6,46621.3
O60563,CCNT1_HUMAN,CCNT1,Cyclin-T1,1,1,,,,
O60566,BUB1B_HUMAN,BUB1B,Mitotic checkpoint serine/threonine-protein kinase BUB1 beta,3,3,14888.6,2308.58,11196.8,8505.97
O60568,PLOD3_HUMAN,PLOD3,Multifunctional procollagen lysine hydroxylase and glycosyltransferase LH3,8,8,343070,394867,385561,410156
O60610,DIAP1_HUMAN,DIAPH1,Protein diaphanous homolog 1,11,11,101577,139847,112301,135674
O60613,SEP15_HUMAN,SELENOF,Selenoprotein F,1,1,61234.7,58840.8,82142.3,
O60645,EXOC3_HUMAN,EXOC3,Exocyst complex component 3,8,8,39100.9,49524.6,42090.7,44138.3
O60658,PDE8A_HUMAN,PDE8A,"High affinity cAMP-specific and IBMX-insensitive 3',5'-cyclic phosphodiesterase 8A",2,2,57041.7,,,66294.9
O60664,PLIN3_HUMAN,PLIN3,Perilipin-3,5,5,619265,647085,639680,682048
O60675,MAFK_HUMAN,MAFK,Transcription factor MafK,3,3,,15774.5,15565.3,8648.54
O60678,ANM3_HUMAN,PRMT3,Protein arginine N-methyltransferase 3,4,4,141913,159860,101709,131005
O60684,IMA7_HUMAN,KPNA6,Importin subunit alpha-7,8,5,87682.2,105487,75081,88506.4
O60701,UGDH_HUMAN,UGDH,UDP-glucose 6-dehydrogenase,8,8,236957,248782,237029,237421
O60716,CTND1_HUMAN,CTNND1,Catenin delta-1,8,8,24687.8,21446.7,22224.2,25213.9
O60739;P41567,EIF1B_HUMAN;EIF1_HUMAN,EIF1;EIF1B,Eukaryotic translation initiation factor 1b,3,0,382284,429224,399314,408211
O60749,SNX2_HUMAN,SNX2,Sorting nexin-2,7,7,102785,132119,128311,106098
O60762,DPM1_HUMAN,DPM1,Dolichol-phosphate mannosyltransferase subunit 1,3,3,104768,150729,147746,120776
O60763,USO1_HUMAN,USO1,General vesicular transport factor p115,9,9,145155,154310,159928,174944
O60783,RT14_HUMAN,MRPS14,Small ribosomal subunit protein uS14m,1,1,4302.92,6020.59,4962.61,5091.27
O60784,TOM1_HUMAN,TOM1,Target of Myb1 membrane trafficking protein,2,2,6919.53,15395.3,11344.6,14444.1
O60814;P57053;P58876;P62807;Q5QNW6;Q93079;Q99877;Q99879;Q99880,H2B1C_HUMAN;H2B1D_HUMAN;H2B1H_HUMAN;H2B1K_HUMAN;H2B1L_HUMAN;H2B1M_HUMAN;H2B1N_HUMAN;H2B2F_HUMAN;H2BFS_HUMAN,H2BC12;H2BC12L;H2BC13;H2BC14;H2BC15;H2BC18;H2BC4;H2BC5;H2BC9,Histone H2B type 1-K,1,0,107836,294467,77845,56496.2
O60825,F262_HUMAN,PFKFB2,"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 2",6,3,32199.5,41038.9,31659.1,20426
O60826,CCD22_HUMAN,CCDC22,Coiled-coil domain-containing protein 22,5,5,6761.73,7386.65,7022.68,7437.81
O60828,PQBP1_HUMAN,PQBP1,Polyglutamine-binding protein 1,4,4,33047.1,47794.1,28000.6,59242.8
O60831,PRAF2_HUMAN,PRAF2,PRA1 family protein 2,2,2,27119.2,37448.4,25402.6,36924.9
O60832,DKC1_HUMAN,DKC1,H/ACA ribonucleoprotein complex subunit DKC1,7,7,215247,274956,236858,271591
O60841,IF2P_HUMAN,EIF5B,Eukaryotic translation initiation factor 5B,11,11,268753,288341,281076,309449
O60869,EDF1_HUMAN,EDF1,Endothelial differentiation-related factor 1,2,2,273616,295163,223476,302080
O60870,KIN17_HUMAN,KIN,DNA/RNA-binding protein KIN17,3,3,7543.29,6630.93,7878.46,5555.87
O60879,DIAP2_HUMAN,DIAPH2,Protein diaphanous homolog 2,4,4,30004.4,41627.9,21801.7,46010
O60884,DNJA2_HUMAN,DNAJA2,DnaJ homolog subfamily A member 2,6,6,97728.5,118118,97217.2,104880
O60885,BRD4_HUMAN,BRD4,Bromodomain-containing protein 4,6,4,83754.5,78219.4,62357.1,82547.1
O60888,CUTA_HUMAN,CUTA,Protein CutA,1,1,40787.9,21791.9,31644.5,
O60907,TBL1X_HUMAN,TBL1X,F-box-like/WD repeat-containing protein TBL1X,2,2,34432,36333.9,47011.5,21768.5
O60921,HUS1_HUMAN,HUS1,Checkpoint protein HUS1,4,4,,28808,28635.7,22961.9
O60925,PFD1_HUMAN,PFDN1,Prefoldin subunit 1,1,1,235578,265852,242342,255888
O60927,PP1RB_HUMAN,PPP1R11,E3 ubiquitin-protein ligase PPP1R11,1,1,17814.1,24473.7,,
O60934,NBN_HUMAN,NBN,Nibrin,8,8,27761.1,24272.3,22386.9,18700.7
O60936,NOL3_HUMAN,NOL3,Nucleolar protein 3,2,2,30477.6,37692.7,34166.6,38582.9
O60942,MCE1_HUMAN,RNGTT,mRNA-capping enzyme,1,1,19696.3,,14117.2,22451.8
O74700,TIM9_YEAST,TIM9,Mitochondrial import inner membrane translocase subunit TIM9,3,3,311999,281138,257927,269583
O75027,ABCB7_HUMAN,ABCB7,"Iron-sulfur clusters transporter ABCB7, mitochondrial",6,6,215334,204755,207181,186837
O75044,SRGP2_HUMAN,SRGAP2,SLIT-ROBO Rho GTPase-activating protein 2,3,1,,1259.48,,1525.23
O75063,XYLK_HUMAN,FAM20B,Glycosaminoglycan xylosylkinase,2,2,14386.6,17466.6,24836.8,24941.6
O75083,WDR1_HUMAN,WDR1,WD repeat-containing protein 1,6,6,534053,632354,647776,501292
O75113,N4BP1_HUMAN,N4BP1,NEDD4-binding protein 1,1,1,,,,
O75116,ROCK2_HUMAN,ROCK2,Rho-associated protein kinase 2,22,19,98818.8,118884,109512,114206
O75122,CLAP2_HUMAN,CLASP2,CLIP-associating protein 2,8,8,17592.9,16364.6,18327.1,17649.2
O75127,PTCD1_HUMAN,PTCD1,"Pentatricopeptide repeat-containing protein 1, mitochondrial",1,1,844.714,,1193.39,
O75128,COBL_HUMAN,COBL,Protein cordon-bleu,6,6,,,,
O75131,CPNE3_HUMAN,CPNE3,Copine-3,11,11,206793,243583,214216,231161
O75146,HIP1R_HUMAN,HIP1R,Huntingtin-interacting protein 1-related protein,7,7,20635,17689.7,21588.2,24217.7
O75147,OBSL1_HUMAN,OBSL1,Obscurin-like protein 1,1,1,,,,
O75150,BRE1B_HUMAN,RNF40,E3 ubiquitin-protein ligase BRE1B,6,6,31311.4,34235.6,33785.2,45314.7
O75151,PHF2_HUMAN,PHF2,Lysine-specific demethylase PHF2,2,1,10825.1,,5993.13,9601.18
O75152,ZC11A_HUMAN,ZC3H11A,Zinc finger CCCH domain-containing protein 11A,9,5,55770,50204,52788.1,62859.9
O75153,CLU_HUMAN,CLUH,Clustered mitochondria protein homolog,12,12,82057.1,88169.5,84430.8,88747.1
O75157,T22D2_HUMAN,TSC22D2,TSC22 domain family protein 2,1,1,692.063,,562.555,
O75165,DJC13_HUMAN,DNAJC13,DnaJ homolog subfamily C member 13,10,10,48629,62182.4,43418.1,59475.7
O75175,CNOT3_HUMAN,CNOT3,CCR4-NOT transcription complex subunit 3,2,2,,23644,20221.7,
O75179,ANR17_HUMAN,ANKRD17,Ankyrin repeat domain-containing protein 17,6,6,18302.7,23280.4,20861.4,12872.4
O75182,SIN3B_HUMAN,SIN3B,Paired amphipathic helix protein Sin3b,1,1,,,,
O75190,DNJB6_HUMAN,DNAJB6,DnaJ homolog subfamily B member 6,2,1,,,,6966.21
O75208,COQ9_HUMAN,COQ9,"Ubiquinone biosynthesis protein COQ9, mitochondrial",1,1,141144,155053,180781,142042
O75223,GGCT_HUMAN,GGCT,Gamma-glutamylcyclotransferase,5,5,255663,298856,254201,314576
O75251,NDUS7_HUMAN,NDUFS7,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial",3,3,120658,139417,144757,125400
O75306,NDUS2_HUMAN,NDUFS2,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial",5,5,15760.1,17995.5,20380.1,15106.8
O75312,ZPR1_HUMAN,ZPR1,Zinc finger protein ZPR1,4,4,22598.5,22305.3,20486.2,21313.4
O75323,NIPS2_HUMAN,NIPSNAP2,Protein NipSnap homolog 2,1,1,27288.9,24709.9,17593.3,
O75340,PDCD6_HUMAN,PDCD6,Programmed cell death protein 6,2,2,,,,
O75347,TBCA_HUMAN,TBCA,Tubulin-specific chaperone A,4,4,625386,804177,661021,799272
O75348,VATG1_HUMAN,ATP6V1G1,V-type proton ATPase subunit G 1,2,2,50378.1,84590.6,64195.8,89588.9
O75351,VPS4B_HUMAN,VPS4B,Vacuolar protein sorting-associated protein 4B,3,2,139320,186079,170197,124766
O75352,MPU1_HUMAN,MPDU1,Mannose-P-dolichol utilization defect 1 protein,1,1,,,,
O75367,H2AY_HUMAN,MACROH2A1,Core histone macro-H2A.1,7,7,780541,974252,861515,898623
O75368,SH3L1_HUMAN,SH3BGRL,Adapter SH3BGRL,2,2,206434,268295,213125,233258
O75369,FLNB_HUMAN,FLNB,Filamin-B,60,56,1.51E+06,1.73E+06,1.61E+06,1.65E+06
O75376,NCOR1_HUMAN,NCOR1,Nuclear receptor corepressor 1,7,6,32440.3,,20451.4,14031.4
O75379,VAMP4_HUMAN,VAMP4,Vesicle-associated membrane protein 4,1,1,98531.9,,98594.9,84464.8
O75380,NDUS6_HUMAN,NDUFS6,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial",2,2,,27963.9,25820.3,12503.1
O75381,PEX14_HUMAN,PEX14,Peroxisomal membrane protein PEX14,2,2,91036.5,117394,112107,114863
O75390,CISY_HUMAN,CS,"Citrate synthase, mitochondrial",7,6,1.02E+06,1.12E+06,1.19E+06,1.06E+06
O75391,SPAG7_HUMAN,SPAG7,Sperm-associated antigen 7,3,3,50839,47645.7,54916.5,50093.1
O75394,RM33_HUMAN,MRPL33,Large ribosomal subunit protein bL33m,2,2,26976.3,23711.1,25768,40131.7
O75396,SC22B_HUMAN,SEC22B,Vesicle-trafficking protein SEC22b,5,5,914374,1.03E+06,975522,978271
O75400,PR40A_HUMAN,PRPF40A,Pre-mRNA-processing factor 40 homolog A,9,9,258806,316143,264596,316749
O75410,TACC1_HUMAN,TACC1,Transforming acidic coiled-coil-containing protein 1,1,1,,,,
O75414,NDK6_HUMAN,NME6,Nucleoside diphosphate kinase 6,1,1,,8324.58,,
O75419,CDC45_HUMAN,CDC45,Cell division control protein 45 homolog,3,3,,7498.54,9258.74,9418.63
O75431,MTX2_HUMAN,MTX2,Metaxin-2,1,1,,,,
O75436,VP26A_HUMAN,VPS26A,Vacuolar protein sorting-associated protein 26A,5,5,383390,381294,417996,395660
O75438,NDUB1_HUMAN,NDUFB1,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 1,1,1,,10977.8,8991.57,
O75439,MPPB_HUMAN,PMPCB,Mitochondrial-processing peptidase subunit beta,9,9,92174,109430,102328,107948
O75448,MED24_HUMAN,MED24,Mediator of RNA polymerase II transcription subunit 24,2,2,12420.1,18000.1,15803.2,21731.8
O75449,KTNA1_HUMAN,KATNA1,Katanin p60 ATPase-containing subunit A1,1,1,711.998,,396.287,779.228
O75467;Q6AW86,Z324A_HUMAN;Z324B_HUMAN,ZNF324;ZNF324B,Zinc finger protein 324A,1,0,,,670762,683564
O75475,PSIP1_HUMAN,PSIP1,PC4 and SFRS1-interacting protein,6,6,446389,549288,486720,501730
O75477,ERLN1_HUMAN,ERLIN1,Erlin-1,2,2,99076.2,111921,95890.8,101644
O75489,NDUS3_HUMAN,NDUFS3,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial",3,3,250367,314774,273890,252528
O75494,SRS10_HUMAN,SRSF10,Serine/arginine-rich splicing factor 10,4,2,86536.2,165224,201220,115452
O75496,GEMI_HUMAN,GMNN,Geminin,2,2,,27297.7,,19504.1
O75506,HSBP1_HUMAN,HSBP1,Heat shock factor-binding protein 1,1,1,,94813,81486.5,79655.6
O75521,ECI2_HUMAN,ECI2,Enoyl-CoA delta isomerase 2,4,4,214033,314055,234468,233274
O75530,EED_HUMAN,EED,Polycomb protein EED,5,5,45347.6,55279.1,45544.3,46242.6
O75531,BAF_HUMAN,BANF1,Barrier-to-autointegration factor,2,2,3.33E+06,4.05E+06,3.38E+06,2.45E+06
O75533,SF3B1_HUMAN,SF3B1,Splicing factor 3B subunit 1,12,12,286834,323172,306922,325593
O75534,CSDE1_HUMAN,CSDE1,Cold shock domain-containing protein E1,11,11,387680,493274,473656,496892
O75569,PRKRA_HUMAN,PRKRA,Interferon-inducible double-stranded RNA-dependent protein kinase activator A,3,3,56132.6,41918.8,39112.3,48807.6
O75582,KS6A5_HUMAN,RPS6KA5,Ribosomal protein S6 kinase alpha-5,2,2,13007.3,12468.4,8108.79,7757.17
O75592,MYCB2_HUMAN,MYCBP2,E3 ubiquitin-protein ligase MYCBP2,8,8,,13888.5,19932.9,12243.8
O75607,NPM3_HUMAN,NPM3,Nucleoplasmin-3,1,1,185565,258266,229948,298404
O75608,LYPA1_HUMAN,LYPLA1,Acyl-protein thioesterase 1,3,3,334874,264692,306745,351838
O75616,ERAL1_HUMAN,ERAL1,"GTPase Era, mitochondrial",2,2,51147.6,32540.8,49581.1,39483.3
O75643,U520_HUMAN,SNRNP200,U5 small nuclear ribonucleoprotein 200 kDa helicase,33,33,363721,430472,382492,410199
O75648,MTU1_HUMAN,TRMU,Mitochondrial tRNA-specific 2-thiouridylase 1,1,1,7618.83,,,
O75663,TIPRL_HUMAN,TIPRL,TIP41-like protein,3,3,73911.6,55749,72967.3,62244.5
O75665,OFD1_HUMAN,OFD1,Centriole and centriolar satellite protein OFD1,1,1,5570.9,,,
O75674,TM1L1_HUMAN,TOM1L1,TOM1-like protein 1,1,1,3757.78,15177.6,5524.98,6800.05
